628224066621702144	positive	
628224636518576128	neutral	
628224818656088064	neutral	
628225795283099648	positive	
628226734387806208	neutral	
628227770175365121	negative	
628233909650726912	neutral	
628235118117785600	neutral	
628235398364278784	positive	
628235608268386304	neutral	
628241024926617600	neutral	
628241574699397121	positive	
628242689159471105	negative	
628243008132026368	negative	
628244161624342528	neutral	
628246899762434048	positive	
628250053321338880	positive	
628252498923425792	neutral	
628252680339636224	neutral	
628252810207956994	negative	
628253527081664512	neutral	
628259294010580992	neutral	
628261247704694784	neutral	
628262661747142656	neutral	
628262743007731712	positive	
628264167246409728	neutral	
628264230962233344	neutral	
628268601317822464	positive	
628272757185249280	neutral	
628273151839899648	positive	
628276070815539200	negative	
628277577057112065	neutral	
628278911323893761	neutral	
628278952906194944	neutral	
628281751597645824	positive	
628284829298241536	neutral	
628288729069674496	neutral	
628290516506046464	neutral	
628291438560808960	neutral	
628291729725222912	negative	
628291883979005952	positive	
628291901519724544	neutral	
628292668729237504	positive	
628292705622302720	neutral	
628293078420484096	positive	
628293080400048128	positive	
628294903114674176	neutral	
628295288944463872	positive	
628297074489073664	neutral	
628298220926554113	positive	
628298407191445504	neutral	
628301597148254208	positive	
628304990654885888	positive	
628307344800124928	neutral	
628308759106990082	positive	
628308795450597377	neutral	
628311572650303488	positive	
628312198507560960	neutral	
628314355407450116	neutral	
628318379426889729	positive	
628320494647934977	negative	
628320585987321856	positive	
628322648657891329	positive	
628324716433010688	neutral	
628332815399157760	positive	
628335336167448576	negative	
628337185889120256	neutral	
628338051681517568	positive	
628340792839548928	positive	
628341856259178496	neutral	
628342938536398848	positive	
628343321946116096	neutral	
628345212591476736	negative	
628349052401393664	negative	
628349100551856128	neutral	
628351606183067648	neutral	
628353151226265600	positive	
628354417184649216	neutral	
628354769527046144	neutral	
628356632024518657	neutral	
628357667761688576	positive	
628358096541192192	neutral	
628358151331573760	neutral	
628358219434319872	neutral	
628358473269424128	neutral	
628358527837278208	negative	
628358536536326145	neutral	
628358677448269824	neutral	
628359180701835265	negative	
628359536483545088	neutral	
628360930464653312	negative	
628362180761489409	neutral	
628362922545270784	positive	
628363107820134400	neutral	
628363716715802624	neutral	
628363729235804160	positive	
628364546193903616	negative	
628365385482510336	neutral	
628366419995004928	neutral	
628366677307224064	neutral	
628369818886877184	neutral	
628372929974132736	positive	
628373400814243840	neutral	
628373800195878913	positive	
628376234586550272	positive	
628376634131877888	neutral	
628378602845937664	positive	
628380979212742656	positive	
628381579459592192	neutral	
628382179844755456	neutral	
628382513929424896	neutral	
628383885567598593	neutral	
628385006738644992	neutral	
628387142272724992	neutral	
628388898163404800	positive	
628390554259341312	negative	
628393280594546688	positive	
628393542398799872	positive	
628395142630776832	neutral	
628397639973744640	neutral	
628399792658497537	neutral	
628401950942474240	positive	
628403767889801216	neutral	
628403767889801216	positive	
628404880043048961	positive	
628405216149393408	neutral	
628406233960157184	negative	
628406380161048576	positive	
628406473677271041	neutral	
628411533958078464	neutral	
628411941187375105	positive	
628412479207387136	neutral	
628413617453449216	neutral	
628415730665582592	neutral	
628416038846099456	positive	
628420879865610240	positive	
628437368664526852	positive	
628440656768335872	positive	
628449610315399168	neutral	
628449837491601408	neutral	
628452643141103616	neutral	
628470270957715456	neutral	
628474557909831680	negative	
628481558178058240	neutral	
628492618855542784	positive	
628496484128919552	positive	
628496575468281856	neutral	
628498587849203712	positive	
628504099529605120	neutral	
628512506294763520	neutral	
628521627249061888	neutral	
628528019439640576	neutral	
628529735128190976	neutral	
628531425550147585	neutral	
628537536940539904	positive	
628540614770954240	positive	
628540930392502272	neutral	
628543291982745600	positive	
628548596443447296	negative	
628560206776111108	positive	
628564320926965760	neutral	
628566836515336192	neutral	
628567175641595904	negative	
628567181547208704	neutral	
628568702900936704	neutral	
628569856246308864	positive	
628573145356742656	neutral	
628579215223320576	neutral	
628589377409540096	positive	
628592355822673920	neutral	
628595161229078529	positive	
628599271873314817	positive	
628603186274766848	negative	
628604614925942784	neutral	
628608571362672641	neutral	
628616260104921088	positive	
628621585918746624	negative	
628621816215371777	neutral	
628623829351464960	neutral	
628624061459869696	neutral	
628628572547207168	neutral	
628630803635904512	neutral	
628631014873669632	neutral	
628634000869822464	neutral	
628636707148197890	neutral	
628637519643586560	neutral	
628638836021723140	positive	
628639201802719233	neutral	
628644043308814336	neutral	
628644118227496960	neutral	
628646100908404736	neutral	
628647560614248448	neutral	
628651750845579264	positive	
628653717634596864	positive	
628657782372368384	neutral	
628667076165537792	positive	
628673799987269632	neutral	
628675431311540225	positive	
628676031969423361	negative	
628677116910026753	neutral	
628679576055619584	negative	
628683540746649600	neutral	
628684478525886468	positive	
628684634151387138	neutral	
628685330024038400	neutral	
628685669829754880	neutral	
628685984998273024	positive	
628687486336823296	neutral	
628687595690573824	neutral	
628688186408103936	neutral	
628688192254951425	neutral	
628688337931472896	positive	
628688493422714880	neutral	
628688832838242304	neutral	
628689634923577344	neutral	
628689662828277760	neutral	
628691144529022979	neutral	
628691206743191553	positive	
628691571496628224	neutral	
628692087928680448	negative	
628692160108490753	neutral	
